"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Asserts that both mandatory top-level fields are present in the response JSON.","196","Response must contain 'message' and 'status' fields","Dog API - Full Test Suite","Tue Mar 24 14:11:30 UTC 2026","passed","Tue Mar 24 14:11:30 UTC 2026","com.dogapi.tests.RandomImageTest","Random Image - GET /breeds/image/random","com.dogapi.tests.RandomImageTest","responseMustHaveMandatoryFields"
"","185","Response time for breed images must be under 8 seconds","Dog API - Full Test Suite","Tue Mar 24 14:11:25 UTC 2026","passed","Tue Mar 24 14:11:26 UTC 2026","com.dogapi.tests.BreedImagesTest","Breed Images - GET /breed/{breed}/images","com.dogapi.tests.BreedImagesTest","responseTimeShouldBeAcceptable"
"Non-functional: verifies the endpoint responds within an acceptable time threshold.","208","Response time should be under 5 seconds","Dog API - Full Test Suite","Tue Mar 24 14:11:21 UTC 2026","passed","Tue Mar 24 14:11:21 UTC 2026","com.dogapi.tests.BreedsListAllTest","Breeds List All - GET /breeds/list/all","com.dogapi.tests.BreedsListAllTest","responseTimeShouldBeAcceptable"
"Validates that /breed/{breed}/{sub-breed}/images works for known sub-breeds.","197","Sub-breed images endpoint should return HTTP 200","Dog API - Full Test Suite","Tue Mar 24 14:11:27 UTC 2026","passed","Tue Mar 24 14:11:27 UTC 2026","com.dogapi.tests.BreedImagesTest","Breed Images - GET /breed/{breed}/images","com.dogapi.tests.BreedImagesTest","subBreedImagesShouldReturn200"
"Verifies that the API-level status flag reports success.","207","Status field must equal 'success'","Dog API - Full Test Suite","Tue Mar 24 14:11:23 UTC 2026","passed","Tue Mar 24 14:11:23 UTC 2026","com.dogapi.tests.BreedsListAllTest","Breeds List All - GET /breeds/list/all","com.dogapi.tests.BreedsListAllTest","statusFieldShouldBeSuccess"
"","199","Known breed 'bulldog' must be present in the list","Dog API - Full Test Suite","Tue Mar 24 14:11:21 UTC 2026","passed","Tue Mar 24 14:11:21 UTC 2026","com.dogapi.tests.BreedsListAllTest","Breeds List All - GET /breeds/list/all","com.dogapi.tests.BreedsListAllTest","shouldContainBulldogBreed"
"Asserts that the response JSON has the mandatory top-level fields.","882","Response body must contain 'message' and 'status' fields","Dog API - Full Test Suite","Tue Mar 24 14:11:22 UTC 2026","passed","Tue Mar 24 14:11:23 UTC 2026","com.dogapi.tests.BreedsListAllTest","Breeds List All - GET /breeds/list/all","com.dogapi.tests.BreedsListAllTest","shouldHaveMandatoryResponseFields"
"Security check: all image URLs must be served over HTTPS.","191","Image URLs must use HTTPS scheme","Dog API - Full Test Suite","Tue Mar 24 14:11:25 UTC 2026","passed","Tue Mar 24 14:11:25 UTC 2026","com.dogapi.tests.BreedImagesTest","Breed Images - GET /breed/{breed}/images","com.dogapi.tests.BreedImagesTest","imageUrlsMustUseHttps"
"Checks that the well-known breed 'labrador' is included in the response.","193","Known breed 'labrador' must be present in the list","Dog API - Full Test Suite","Tue Mar 24 14:11:22 UTC 2026","passed","Tue Mar 24 14:11:22 UTC 2026","com.dogapi.tests.BreedsListAllTest","Breeds List All - GET /breeds/list/all","com.dogapi.tests.BreedsListAllTest","shouldContainLabradorBreed"
"Validates the data type of the 'message' field for breed images.","265","Image list must be an array of strings","Dog API - Full Test Suite","Tue Mar 24 14:11:24 UTC 2026","passed","Tue Mar 24 14:11:24 UTC 2026","com.dogapi.tests.BreedImagesTest","Breed Images - GET /breed/{breed}/images","com.dogapi.tests.BreedImagesTest","imageMessageMustBeAnArrayOfStrings"
"Validates that /breed/{breed}/{sub-breed}/images works for known sub-breeds.","191","Sub-breed images endpoint should return HTTP 200","Dog API - Full Test Suite","Tue Mar 24 14:11:27 UTC 2026","passed","Tue Mar 24 14:11:27 UTC 2026","com.dogapi.tests.BreedImagesTest","Breed Images - GET /breed/{breed}/images","com.dogapi.tests.BreedImagesTest","subBreedImagesShouldReturn200"
"Validates that the 'hound' breed lists well-known sub-breeds like 'afghan' and 'blood'.","231","'hound' sub-breeds should include known sub-types","Dog API - Full Test Suite","Tue Mar 24 14:11:21 UTC 2026","passed","Tue Mar 24 14:11:21 UTC 2026","com.dogapi.tests.BreedsListAllTest","Breeds List All - GET /breeds/list/all","com.dogapi.tests.BreedsListAllTest","houndShouldHaveKnownSubBreeds"
"Verifies that 'message' is a non-blank String (the image URL).","207","Message field must be a non-empty string","Dog API - Full Test Suite","Tue Mar 24 14:11:29 UTC 2026","passed","Tue Mar 24 14:11:29 UTC 2026","com.dogapi.tests.RandomImageTest","Random Image - GET /breeds/image/random","com.dogapi.tests.RandomImageTest","messageMustBeNonEmptyString"
"Checks that the well-known breed 'hound' is included in the response.","206","Known breed 'hound' must be present in the list","Dog API - Full Test Suite","Tue Mar 24 14:11:21 UTC 2026","passed","Tue Mar 24 14:11:22 UTC 2026","com.dogapi.tests.BreedsListAllTest","Breeds List All - GET /breeds/list/all","com.dogapi.tests.BreedsListAllTest","shouldContainHoundBreed"
"Security check: the image URL must be served over HTTPS.","185","Image URL must use HTTPS scheme","Dog API - Full Test Suite","Tue Mar 24 14:11:29 UTC 2026","passed","Tue Mar 24 14:11:29 UTC 2026","com.dogapi.tests.RandomImageTest","Random Image - GET /breeds/image/random","com.dogapi.tests.RandomImageTest","imageUrlMustUseHttps"
"Iterates every URL returned for 'hound' and asserts it matches the CDN regex.","220","All image URLs must match the expected CDN pattern","Dog API - Full Test Suite","Tue Mar 24 14:11:24 UTC 2026","passed","Tue Mar 24 14:11:25 UTC 2026","com.dogapi.tests.BreedImagesTest","Breed Images - GET /breed/{breed}/images","com.dogapi.tests.BreedImagesTest","imageUrlsMustMatchCdnPattern"
"","178","Response time should be under 5 seconds","Dog API - Full Test Suite","Tue Mar 24 14:11:30 UTC 2026","passed","Tue Mar 24 14:11:30 UTC 2026","com.dogapi.tests.RandomImageTest","Random Image - GET /breeds/image/random","com.dogapi.tests.RandomImageTest","responseTimeShouldBeAcceptable"
"Parameterised test: verifies HTTP 200 for multiple known breed slugs.","191","GET /breed/{breed}/images should return HTTP 200 for known breeds","Dog API - Full Test Suite","Tue Mar 24 14:11:26 UTC 2026","passed","Tue Mar 24 14:11:26 UTC 2026","com.dogapi.tests.BreedImagesTest","Breed Images - GET /breed/{breed}/images","com.dogapi.tests.BreedImagesTest","shouldReturn200ForKnownBreed"
"Iterates through every breed entry and confirms its sub-breed value is a List, not null.","197","Sub-breeds list values must always be arrays (never null)","Dog API - Full Test Suite","Tue Mar 24 14:11:23 UTC 2026","passed","Tue Mar 24 14:11:24 UTC 2026","com.dogapi.tests.BreedsListAllTest","Breeds List All - GET /breeds/list/all","com.dogapi.tests.BreedsListAllTest","subBreedValuesMustAlwaysBeArrays"
